t_ms,ax,ay,az,norm,dnorm,energy,impact
202.238,0.07983,-1.00146,-0.24585,1.03429,0.00644,0.00040,0
203.794,0.07837,-0.99609,-0.24463,1.02868,0.00560,0.00043,0
206.577,0.08130,-0.99829,-0.24707,1.03162,0.00294,0.00041,0
208.298,0.07593,-0.99805,-0.23682,1.02856,0.00305,0.00041,0
210.343,0.08398,-1.00073,-0.23462,1.03129,0.00273,0.00038,0
211.984,0.08252,-0.99951,-0.24927,1.03343,0.00213,0.00036,0
213.542,0.07886,-0.99512,-0.23755,1.02611,0.00731,0.00041,0
215.051,0.07568,-0.99390,-0.24536,1.02653,0.00042,0.00040,0
216.567,0.07568,-0.99365,-0.24292,1.02571,0.00082,0.00038,0
218.074,0.07886,-0.98999,-0.24048,1.02183,0.00388,0.00039,0
219.580,0.08252,-0.99634,-0.24268,1.02878,0.00695,0.00044,0
221.089,0.07812,-0.99243,-0.24365,1.02489,0.00390,0.00045,0
222.596,0.08521,-0.99390,-0.24048,1.02612,0.00123,0.00045,0
224.105,0.07837,-0.99976,-0.23730,1.03052,0.00440,0.00045,0
225.594,0.07886,-0.99170,-0.23682,1.02263,0.00789,0.00045,0
227.067,0.07520,-0.99976,-0.24146,1.03125,0.00862,0.00049,0
228.548,0.07886,-0.99707,-0.24121,1.02886,0.00239,0.00050,0
230.017,0.07837,-0.99829,-0.24365,1.03058,0.00172,0.00045,0
231.494,0.07397,-0.99536,-0.24023,1.02661,0.00397,0.00047,0
232.975,0.08276,-0.99951,-0.24536,1.03251,0.00590,0.00050,0
234.453,0.08423,-0.99878,-0.24341,1.03146,0.00105,0.00050,0
235.969,0.07935,-0.99414,-0.24512,1.02698,0.00447,0.00051,0
237.544,0.07959,-0.99658,-0.24707,1.02983,0.00285,0.00052,0
239.047,0.08008,-0.99951,-0.23828,1.03064,0.00081,0.00049,0
240.552,0.08130,-0.99731,-0.24341,1.02980,0.00084,0.00048,0
242.065,0.07959,-0.99487,-0.23975,1.02644,0.00336,0.00045,0
243.568,0.08032,-0.99951,-0.23193,1.02921,0.00276,0.00043,0
245.052,0.07666,-0.99121,-0.23682,1.02199,0.00722,0.00047,0
246.538,0.07959,-0.99170,-0.23657,1.02263,0.00064,0.00046,0
248.025,0.07642,-0.99268,-0.24341,1.02494,0.00231,0.00046,0
249.512,0.07812,-0.99707,-0.23535,1.02744,0.00251,0.00046,0
251.000,0.07861,-1.00073,-0.22974,1.02977,0.00232,0.00042,0
252.487,0.07910,-0.99585,-0.23926,1.02724,0.00253,0.00042,0
253.969,0.07935,-0.98804,-0.24731,1.02161,0.00563,0.00045,0
255.456,0.07715,-0.99292,-0.24219,1.02494,0.00333,0.00045,0
256.937,0.08032,-0.99951,-0.24512,1.03226,0.00732,0.00045,0
258.421,0.07910,-0.99976,-0.24561,1.03252,0.00026,0.00044,0
259.906,0.07935,-0.99609,-0.23584,1.02670,0.00581,0.00047,0
261.390,0.08008,-0.99170,-0.23804,1.02301,0.00370,0.00047,0
262.924,0.08276,-1.00049,-0.24463,1.03328,0.01028,0.00051,0
264.565,0.08105,-1.00049,-0.23438,1.03077,0.00252,0.00044,0
266.203,0.08105,-0.99292,-0.23633,1.02387,0.00690,0.00048,0
267.866,0.07690,-0.99683,-0.23950,1.02807,0.00420,0.00050,0
269.393,0.08325,-0.99683,-0.24561,1.03001,0.00193,0.00049,0
270.920,0.07959,-0.99512,-0.24121,1.02702,0.00298,0.00046,0
272.678,0.07520,-0.99976,-0.24194,1.03136,0.00434,0.00048,0
276.341,0.08203,-0.99585,-0.24463,1.02873,0.00263,0.00046,0
278.059,0.07715,-0.99316,-0.24634,1.02616,0.00257,0.00046,0
280.406,0.07739,-0.99316,-0.23926,1.02450,0.00166,0.00046,0
282.127,0.07520,-0.99731,-0.24609,1.02998,0.00547,0.00049,0
283.837,0.07764,-0.98950,-0.23315,1.01956,0.01042,0.00059,0
285.632,0.07373,-0.99658,-0.23682,1.02698,0.00742,0.00064,0
287.270,0.08057,-0.99536,-0.24634,1.02855,0.00157,0.00059,0
289.745,0.07959,-0.99365,-0.24268,1.02595,0.00260,0.00060,0
